terror,longitude,latitude
terror,75.78491,23.178725
terror,34.110425,31.211645
terror,75.298859,12.251801
terror,44.506622,33.314009
terror,44.946428,34.067987
terror,43.877498,34.194815
terror,44.396303,35.495925
terror,70.336069,33.695975
terror,20.066488,32.116136
terror,66.850045,29.800097
terror,68.225697,28.542062
terror,67.565649,28.373562
terror,69.166874,34.480554
terror,69.019532,33.999937
terror,11.173856,10.286099
terror,44.290528,14.795403
terror,,
terror,124.724173,7.051969
terror,122.120277,6.497901
terror,124.798022,7.204124
terror,37.48316,47.595125
terror,37.805716,48.016123
terror,39.466667,48.666667
terror,39.2333,48.733226
terror,37.583701,47.998919
terror,37.576667,47.805
terror,37.642778,48.267222
terror,37.645881,48.137241
terror,38.338444,48.187033
terror,37.927778,48.360278
terror,37.645881,48.137241
terror,37.50403,47.942316
terror,37.675,48.062222
terror,37.652819,47.827862
terror,37.652819,47.827862
terror,37.652819,47.827862
terror,67.02705,24.8964
terror,66.992844,24.950082
terror,6.683263,12.164619
terror,8.1,6.333346
terror,34.110425,31.211645
terror,90.424891,23.791707
terror,90.412,23.725002
terror,90.401154,23.738675
terror,90.4089,23.741866
terror,90.406164,23.708637
terror,90.392495,23.731549
terror,38.350817,36.88774
terror,91.391156,22.84998
terror,90.392495,23.731549
terror,90.392495,23.731549
terror,72.352778,30.041944
terror,-7.938226,53.43139
terror,67.635903,32.727268
terror,69.07,33.473889
terror,69.291667,35.064722
terror,64.435513,35.814512
terror,67.415893,32.503195
terror,64.19502,31.12993
terror,62.144855,32.446622
terror,75.276645,12.171801
terror,18.614504,-34.066106
terror,63.04137,26.001691
terror,68.334164,28.868734
terror,68.334164,28.868734
terror,68.334164,28.868734
terror,44.398417,33.342257
terror,44.26214,33.537227
terror,44.434701,33.223512
terror,-74.753891,2.519314
terror,20.047944,32.109683
terror,40.45,35.016557
terror,12.19458,10.61285
terror,12.118483,10.446327
terror,101.570281,5.987041
terror,40.900596,-2.26958
terror,124.674481,7.054666
terror,37.722403,48.062948
terror,39.2333,48.733226
terror,39.228414,48.737984
terror,90.419609,23.782694
terror,90.405874,23.723639
terror,39.23219,48.740193
terror,35.113728,32.002823
terror,81.402091,19.629022
terror,81.253252,19.471365
terror,94.160002,24.902503
terror,35.895833,34.396358
terror,89.275942,25.571734
terror,96.316577,25.616616
terror,90.410751,23.732246
terror,90.397552,23.724916
terror,90.427385,23.779935
terror,90.366241,23.815983
terror,88.597403,24.366109
terror,10.209463,36.713039
terror,90.377061,23.746856
terror,90.370716,23.797795
terror,89.840556,23.606111
terror,91.871471,24.890322
terror,90.417231,23.732972
terror,65.876169,32.620146
terror,65.537659,32.955456
terror,29.71615,11.016768
terror,24.88387,12.049562
terror,67.646111,31.908611
terror,44.373779,33.664354
terror,44.633423,33.750037
terror,44.252093,33.837449
terror,43.3,33.416611
terror,44.143611,35.188333
terror,43.731014,34.475521
terror,44.216324,34.056809
terror,44.936944,33.978611
terror,69.099914,29.142088
terror,64.633889,25.214722
terror,64.508123,35.85837
terror,34.008889,31.186667
terror,69.964306,33.367136
terror,49.1825,11.284645
terror,49.182478,11.284645
terror,29.918739,31.200092
terror,29.918739,31.200092
terror,122.185398,6.664421
terror,66.992844,24.950082
terror,72.466577,34.11676
terror,70.905212,31.831508
terror,39.471471,48.662288
terror,38.791916,48.751957
terror,38.51459,48.323644
terror,38.514205,48.692888
terror,37.741852,48.069012
terror,37.741852,48.069012
terror,39.471521,48.662702
terror,39.471521,48.662702
terror,39.471521,48.662702
terror,39.471521,48.662702
terror,39.471521,48.662702
terror,39.471521,48.662702
terror,39.471521,48.662702
terror,39.517065,48.681082
terror,38.379387,48.63283
terror,49.365315,16.930413
terror,38.203529,48.218299
terror,37.778735,48.046452
terror,37.617239,47.945328
terror,6.638462,4.955535
terror,7.414698,4.484502
terror,42.826911,36.626999
terror,44.96035,34.077309
terror,41.86,36.32
terror,91.871523,24.897839
terror,91.871523,24.897839
terror,71.146894,34.093421
terror,94.141842,24.508473
terror,68.522705,34.111782
terror,23.735798,37.982325
terror,91.438875,24.415958
terror,71.580758,34.014641
terror,33.880152,31.145676
terror,90.407875,23.715757
terror,90.385068,23.739082
terror,90.424301,23.831122
terror,90.427614,23.781032
terror,90.363098,23.735864
terror,90.392495,23.731549
terror,79.739988,15.9129
terror,79.739988,15.9129
terror,44.318925,33.318355
terror,44.413483,33.546272
terror,68.201962,28.297637
terror,64.833889,32.073333
terror,66.294167,29.178056
terror,-4.917815,14.457087
terror,63.367503,34.338022
terror,65.823153,36.430231
