citizenTerror,longitude,latitude
citizenTerror,76.455537,9.829387
citizenTerror,81.685681,18.782737
citizenTerror,38.6325,48.725282
citizenTerror,90.358361,23.765844
citizenTerror,71.237938,30.582359
citizenTerror,12.801891,11.885962
citizenTerror,9.846879,10.317786
citizenTerror,44.354167,33.061667
citizenTerror,44.284506,33.365965
citizenTerror,44.281974,33.350004
citizenTerror,84.537946,23.04413
citizenTerror,85.282615,23.041754
citizenTerror,39.540765,48.675057
citizenTerror,12.727599,32.752354
citizenTerror,122.469391,7.659503
citizenTerror,7.08392,4.741798
citizenTerror,13.45325,10.64908
citizenTerror,13.389978,10.62209
citizenTerror,13.431604,10.630174
citizenTerror,13.489002,10.633196
citizenTerror,13.53969,10.62974
citizenTerror,13.396465,10.622303
citizenTerror,44.391023,33.354802
citizenTerror,44.354167,33.061667
citizenTerror,37.549251,47.096943
citizenTerror,7.502617,6.444119
citizenTerror,0,0
citizenTerror,20.066488,32.116136
citizenTerror,36.272575,33.51829
citizenTerror,36.28557,33.517873
citizenTerror,36.258531,33.503084
citizenTerror,36.286131,33.506414
citizenTerror,13.15,11.833345
citizenTerror,13.15,11.833345
citizenTerror,13.41787,11.65331
citizenTerror,7.869175,7.832584
citizenTerror,8.09553,7.86797
citizenTerror,7.869175,7.832584
citizenTerror,7.785072,7.894399
citizenTerror,44.38509,33.215336
citizenTerror,43.725963,34.582434
citizenTerror,34.110425,31.211645
citizenTerror,18.412034,30.586397
citizenTerror,18.412034,30.586397
citizenTerror,68.33299,28.86762
citizenTerror,32.809714,11.743376
citizenTerror,62.915545,32.244313
citizenTerror,64.328078,31.590181
citizenTerror,13.389177,10.623152
citizenTerror,101.281022,6.540649
citizenTerror,34.110425,31.211645
citizenTerror,44.354167,33.061667
citizenTerror,44.065556,33.291944
citizenTerror,44.866944,33.997222
citizenTerror,42.08874,36.80435
citizenTerror,42.088844,36.804776
citizenTerror,41.866111,36.595833
citizenTerror,41.951389,36.583611
citizenTerror,39.450583,48.667091
citizenTerror,39.3073,48.78812
citizenTerror,43.65,3.116667
citizenTerror,30.84191,29.314525
citizenTerror,8.404484,9.837465
citizenTerror,44.396927,33.380235
citizenTerror,44.501286,33.31807
citizenTerror,44.387479,33.231175
citizenTerror,43.089958,36.409928
citizenTerror,70.598611,34.155556
citizenTerror,39.227539,48.737814
citizenTerror,62.3225,25.126389
citizenTerror,44.213536,15.355873
citizenTerror,44.139062,13.757061
citizenTerror,44.842222,14.415833
citizenTerror,65.126535,36.951635
citizenTerror,35.623637,33.272607
citizenTerror,90.409142,23.780071
citizenTerror,13.900695,11.115797
citizenTerror,14.243769,11.259754
citizenTerror,14.711164,11.714778
citizenTerror,14.556762,12.768122
citizenTerror,14.225045,12.377735
citizenTerror,70.211068,34.674256
citizenTerror,68.714007,34.007712
citizenTerror,45.03965,12.774642
citizenTerror,90.38389,23.73336
citizenTerror,90.38389,23.73336
citizenTerror,44.253015,33.079162
citizenTerror,44.356699,32.984946
citizenTerror,44.356699,32.984946
citizenTerror,44.881944,13.056667
citizenTerror,34.373624,30.668445
citizenTerror,44.213536,15.355873
citizenTerror,9.778548,7.875101
citizenTerror,9.230054,7.715104
citizenTerror,9.091568,7.560784
citizenTerror,8.82536,7.42571
citizenTerror,8.4828,7.66176
citizenTerror,9.34136,7.16403
citizenTerror,121.963071,6.441898
citizenTerror,44.409937,33.328305
citizenTerror,44.459344,33.38904
citizenTerror,44.34494,33.381096
citizenTerror,44.286664,33.371858
citizenTerror,44.409937,33.328305
citizenTerror,36.420652,34.178932
citizenTerror,-5.948643,54.617254
citizenTerror,-5.937124,54.621423
citizenTerror,90.389538,23.72724
citizenTerror,37.811306,48.004017
citizenTerror,37.74311,48.015196
citizenTerror,124.212714,7.183504
citizenTerror,0,0
citizenTerror,25.143297,11.275684
citizenTerror,65.075597,32.377133
citizenTerror,44.213536,15.355873
citizenTerror,44.460614,33.389902
citizenTerror,43.783288,33.349906
citizenTerror,43.86549,33.165289
citizenTerror,35.260971,32.22504
citizenTerror,44.583513,33.099944
citizenTerror,44.5078,33.251506
citizenTerror,43.683333,34.600037
citizenTerror,-2.400617,16.782377
citizenTerror,44.247901,1.876646
citizenTerror,11.165382,10.288688
citizenTerror,13.150269,11.832676
citizenTerror,13.149643,11.832983
citizenTerror,13.15,11.833289
citizenTerror,13.149911,11.833377
citizenTerror,36.303049,33.512243
citizenTerror,90.388058,23.719033
citizenTerror,90.399817,23.717746
citizenTerror,34.240191,31.280267
citizenTerror,18.413129,30.588532
citizenTerror,38.788894,48.752509
citizenTerror,74.514799,15.64131
citizenTerror,44.35676,33.247211
citizenTerror,43.907902,33.399611
citizenTerror,43.783244,33.349963
citizenTerror,32.853977,39.921076
citizenTerror,31.615714,6.314003
citizenTerror,44.43799,33.314665
citizenTerror,18.413129,30.588532
citizenTerror,43.95,15.666667
citizenTerror,85.682653,20.034939
citizenTerror,44.4,33.3
citizenTerror,29.045993,-0.791773
citizenTerror,42.951111,14.802222
citizenTerror,44.583333,33.1
citizenTerror,-5.966509,54.587575
citizenTerror,62.246389,34.301389
citizenTerror,70.358601,31.989982
citizenTerror,64.051058,31.488758
citizenTerror,70.782174,32.822871
citizenTerror,94.361652,25.095386
citizenTerror,64.059113,26.99214
citizenTerror,13.204291,32.89547
citizenTerror,36.235973,33.459813
citizenTerror,36.337111,33.531
citizenTerror,44.409393,33.252884
citizenTerror,36.306737,33.511562
citizenTerror,64.293428,35.687365
citizenTerror,-6.003785,54.551056
citizenTerror,36.258333,33.503056
citizenTerror,36.272575,33.51829
citizenTerror,36.320687,33.530586
citizenTerror,36.285686,33.517916
citizenTerror,36.277222,33.498333
citizenTerror,92.874,24.708511
citizenTerror,25.846369,4.028624
citizenTerror,25.846178,4.028447
citizenTerror,93.506464,24.992773
citizenTerror,64.1,26.966667
citizenTerror,13.204235,32.895485
citizenTerror,13.204235,32.895485
citizenTerror,44.354525,33.061667
citizenTerror,44.506622,33.314009
citizenTerror,44.396927,33.425404
citizenTerror,63.845058,32.255993
citizenTerror,13.309715,13.700811
citizenTerror,12.616667,13.316667
citizenTerror,62.604412,34.746013
citizenTerror,43.516219,34.832599
citizenTerror,7.152093,4.727082
citizenTerror,42.778437,0.491919
citizenTerror,69.352488,30.080168
citizenTerror,44.40047,33.33928
citizenTerror,44.385499,33.215389
citizenTerror,90.395494,23.721853
citizenTerror,12.75,11.15
citizenTerror,89.53325,22.842642
citizenTerror,91.833153,22.334345
citizenTerror,37.152329,36.203737
citizenTerror,44.523595,40.182548
citizenTerror,13.914167,11.184167
citizenTerror,14.012778,11.162222
citizenTerror,44.34494,33.381146
citizenTerror,44.157787,33.462707
citizenTerror,79.994796,20.184871
citizenTerror,90.382487,23.715954
citizenTerror,71.476303,35.177379
citizenTerror,12.616667,13.316667
citizenTerror,12.616667,13.316667
citizenTerror,38.401809,48.334617
citizenTerror,37.746298,48.145249
citizenTerror,45.340469,2.032623
citizenTerror,30.91398,29.937507
citizenTerror,44.34494,33.381183
citizenTerror,44.413457,33.54631
citizenTerror,71.264444,34.398889
citizenTerror,16.066667,6.466667
citizenTerror,71.573953,33.91348
citizenTerror,9.245278,7.818611
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,9.250278,7.689167
citizenTerror,38.401809,48.334617
citizenTerror,39.673487,48.717792
citizenTerror,90.930999,23.304613
citizenTerror,70.948915,34.232002
citizenTerror,44.354525,33.061667
citizenTerror,44.387479,32.878462
citizenTerror,-79.009738,35.896708
citizenTerror,-74.079872,4.618412
citizenTerror,36.292022,33.513093
citizenTerror,44.583312,33.100024
citizenTerror,44.213536,15.355873
citizenTerror,9.606301,7.500569
citizenTerror,7.869175,7.832584
citizenTerror,-8.62301,52.661236
citizenTerror,37.593768,48.740692
citizenTerror,37.580599,48.740176
citizenTerror,37.588425,48.743427
citizenTerror,37.605176,48.724509
citizenTerror,37.818889,47.175556
citizenTerror,38.378007,48.634595
citizenTerror,37.811748,48.008958
citizenTerror,44.354167,33.061667
citizenTerror,0,0
citizenTerror,44.157787,33.462707
citizenTerror,44.583199,33.100037
