policeTerror,longitude,latitude
policeTerror,125.324677,7.391979
policeTerror,125.113125,7.609691
policeTerror,67.021816,24.946496
policeTerror,44.311389,33.191944
policeTerror,66.019589,29.555805
policeTerror,0,0
policeTerror,79.922407,37.113704
policeTerror,41.018741,30.976266
policeTerror,71.071691,36.811451
policeTerror,33.803265,31.132083
policeTerror,66.714597,30.67974
policeTerror,68.35,30.283333
policeTerror,64.349587,31.593119
policeTerror,68.709008,35.951738
policeTerror,65.876024,32.629646
policeTerror,72.348611,34.246111
policeTerror,90.25027,25.594539
policeTerror,44.514216,33.324443
policeTerror,67.017802,24.860787
policeTerror,67.01445,24.856305
policeTerror,68.574655,34.106501
policeTerror,121.015348,6.041468
policeTerror,31.007948,30.560456
policeTerror,68.855859,35.006075
policeTerror,44.893611,2.618333
policeTerror,44.025556,33.247778
policeTerror,90.387157,23.728528
policeTerror,9.069549,6.783539
policeTerror,65.054246,31.623038
policeTerror,65.054246,31.623038
policeTerror,-74.110048,4.580869
policeTerror,64.779734,32.356548
policeTerror,90.373606,23.741635
policeTerror,68.578186,33.421827
policeTerror,69.159998,36.995654
policeTerror,13.20432,32.89551
policeTerror,126.176575,9.209105
policeTerror,123.060053,13.694464
policeTerror,13.011111,32.817222
policeTerror,64.368945,31.604685
policeTerror,64.369167,31.583061
policeTerror,90.41489,23.734871
policeTerror,43.3,33.416667
policeTerror,47.563684,42.707062
policeTerror,64.3716,31.597205
policeTerror,90.388237,23.733274
policeTerror,0,0
policeTerror,44.253056,33.078867
policeTerror,41.854848,3.93555
policeTerror,65.463857,33.243044
policeTerror,66.127342,33.724409
policeTerror,62.033849,32.481309
policeTerror,69.174589,34.523124
policeTerror,45.304106,2.042893
policeTerror,44.404012,33.18086
policeTerror,50.510309,26.230328
policeTerror,75.521757,32.377503
policeTerror,71.08857,34.930358
policeTerror,71.060012,33.529949
policeTerror,66.998734,30.182971
policeTerror,68.912625,37.185605
policeTerror,101.809358,6.241925
policeTerror,90.41054,23.731103
policeTerror,45.304079,2.042886
policeTerror,123.278449,12.025238
policeTerror,44.506622,33.314009
policeTerror,32.549718,29.966834
policeTerror,66.18602,36.908036
policeTerror,70.759229,34.720361
policeTerror,70.75236,34.956696
policeTerror,62.217115,34.346382
policeTerror,33.803344,31.132164
policeTerror,62.716175,26.07108
policeTerror,81.350022,18.899915
policeTerror,81.214325,18.284592
policeTerror,43.130295,36.340035
policeTerror,74.308888,31.450112
policeTerror,69.18161,34.518238
policeTerror,65.931256,36.217305
policeTerror,39.675992,-4.057744
policeTerror,80.812864,18.79771
policeTerror,35.11114,31.524213
policeTerror,69.365678,30.475091
policeTerror,69.514156,30.498044
policeTerror,68.600175,30.366743
policeTerror,68.868066,36.728591
policeTerror,68.90443,33.29414
policeTerror,88.652079,23.576205
policeTerror,40.742222,36.511667
policeTerror,32.549807,29.966834
policeTerror,67.211702,24.858406
policeTerror,71.073905,36.883582
policeTerror,80.814331,18.797987
policeTerror,80.814331,18.797987
policeTerror,74.461454,34.285858
policeTerror,44.434701,33.223512
policeTerror,31.213905,30.02095
policeTerror,23.734229,37.950012
policeTerror,69.445084,37.157995
policeTerror,66.905639,32.102813
policeTerror,66.325235,31.805837
policeTerror,67.019374,32.186145
policeTerror,69.014888,34.007202
policeTerror,10.532222,10.394167
policeTerror,10.330143,10.271304
policeTerror,44.253056,33.078867
policeTerror,44.413457,33.54631
policeTerror,68.600175,30.366743
policeTerror,101.536173,6.394265
policeTerror,66.366131,31.798995
policeTerror,70.853593,36.921416
policeTerror,70.183406,34.24178
policeTerror,66.994566,24.868401
policeTerror,72.960556,34.489722
policeTerror,122.651762,11.150919
policeTerror,123.44216,13.580829
policeTerror,44.235292,33.63497
policeTerror,66.05885,36.11713
policeTerror,68.488644,35.907028
policeTerror,28.943752,41.015089
policeTerror,36.201324,32.537497
policeTerror,69.828247,34.277465
policeTerror,13.188757,32.868536
policeTerror,49.127513,14.531382
policeTerror,64.733953,31.866723
policeTerror,64.733953,31.866723
policeTerror,80.819502,18.790757
policeTerror,70.459467,31.928739
policeTerror,81.49,20.27
policeTerror,79.627321,17.140239
policeTerror,44.253056,33.079167
policeTerror,63.958611,31.363647
policeTerror,49.125008,14.538182
policeTerror,84.735718,23.68581
policeTerror,70.908049,31.824077
policeTerror,30.846416,29.318498
policeTerror,64.710069,31.854465
policeTerror,44.799064,33.694104
policeTerror,44.434701,33.223512
policeTerror,62.032097,32.501463
policeTerror,62.04039,32.486807
policeTerror,68.866277,36.72835
policeTerror,71.445165,33.602091
policeTerror,-72.457974,8.412236
policeTerror,0.013595,14.781106
policeTerror,71.430131,34.866649
policeTerror,65.865516,36.386884
policeTerror,64.29845,35.687501
policeTerror,68.649842,32.92204
policeTerror,65.484755,36.304119
policeTerror,31.216103,30.062606
policeTerror,44.488947,33.305081
policeTerror,67.129722,25.02271
policeTerror,89.434441,25.303383
policeTerror,74.555116,34.16047
policeTerror,74.84047,33.68056
policeTerror,69.144205,34.819393
policeTerror,68.759211,36.330218
policeTerror,80.816123,18.790598
policeTerror,71.529884,34.738413
policeTerror,61.138411,25.389026
policeTerror,71.037203,34.753272
policeTerror,64.676556,35.77972
policeTerror,63.690671,33.589532
policeTerror,69.17131,32.948371
policeTerror,44.505219,34.535939
policeTerror,44.505219,34.535939
policeTerror,44.505219,34.535939
policeTerror,28.991056,-1.051389
policeTerror,70.134804,31.706888
policeTerror,46.209155,22.755438
