businessTerror,longitude,latitude
businessTerror,13.191338,32.887209
businessTerror,86.676759,22.444977
businessTerror,94.258951,26.090935
businessTerror,45.340469,2.032623
businessTerror,44.437011,33.293083
businessTerror,91.974697,26.410254
businessTerror,-63.670547,9.640122
businessTerror,44.027545,33.30461
businessTerror,71.774167,34.814444
businessTerror,126.066667,8.05
businessTerror,124.436448,6.867549
businessTerror,43.809004,34.925074
businessTerror,44.522353,33.236715
businessTerror,44.385499,33.215389
businessTerror,81.081073,20.186773
businessTerror,7.869569,4.538283
businessTerror,93.385499,24.749962
businessTerror,101.248883,6.871322
businessTerror,101.253628,6.856286
businessTerror,101.248883,6.871322
businessTerror,30.527218,50.443231
businessTerror,30.527218,50.443231
businessTerror,124.237372,7.199535
businessTerror,13.275937,32.893542
businessTerror,62.118494,32.374492
businessTerror,44.40844,33.342742
businessTerror,23.729383,37.984459
businessTerror,20.099405,32.07878
businessTerror,20.079831,32.09975
businessTerror,71.742344,34.149997
businessTerror,69.916395,33.339385
businessTerror,44.235292,33.63497
businessTerror,100.060844,9.530896
businessTerror,121.00884,6.060263
businessTerror,44.514869,33.349705
businessTerror,62.960135,25.995334
businessTerror,81.490233,20.271481
businessTerror,70.37191,34.810711
businessTerror,43.49686,35.005104
businessTerror,41.919647,32.559762
businessTerror,101.10463,6.451714
businessTerror,23.703086,38.004671
businessTerror,43.49686,35.005104
businessTerror,44.458294,33.303115
businessTerror,20.099405,32.07878
businessTerror,64.101102,26.966864
businessTerror,44.44178,33.362392
businessTerror,124.063018,6.582166
businessTerror,70.447395,34.429836
businessTerror,90.634631,25.193491
businessTerror,125.491194,9.787531
businessTerror,125.09852,6.950745
businessTerror,90.413299,23.735901
businessTerror,45.346832,2.03793
businessTerror,44.936944,33.978611
businessTerror,81.62122,28.054267
businessTerror,64.128039,26.962431
businessTerror,43.49686,35.005104
businessTerror,65.872265,32.621185
businessTerror,44.020479,13.579458
businessTerror,34.112653,31.212367
businessTerror,126.300013,8.800343
businessTerror,40.98331,38.13064
businessTerror,45.033333,12.8
businessTerror,125.083897,6.963075
businessTerror,20.092542,32.077186
businessTerror,85.513586,23.907766
