religiousTerror,longitude,latitude
religiousTerror,13.187581,11.838021
religiousTerror,12.49539,9.203496
religiousTerror,70.37773,32.214296
religiousTerror,46.669675,24.572153
religiousTerror,5.36978,43.296482
religiousTerror,37.151676,36.211388
religiousTerror,44.228944,17.565604
religiousTerror,20.216869,30.749794
religiousTerror,73.08473,33.632415
religiousTerror,79.996893,14.460437
religiousTerror,93.333382,25.219197
religiousTerror,20.216403,30.749268
religiousTerror,25.04125,48.53049
religiousTerror,36.420664,34.1791
religiousTerror,20.216403,30.749268
religiousTerror,68.417347,33.551603
religiousTerror,70.919013,29.388155
religiousTerror,89.254366,25.750411
religiousTerror,67.040502,24.935421
religiousTerror,67.066566,24.920743
religiousTerror,89.424162,25.772337
religiousTerror,-3.491634,53.319141
religiousTerror,124.774079,6.335757
religiousTerror,31.183589,30.002836
religiousTerror,88.898267,25.782954
religiousTerror,35.028163,31.438812
religiousTerror,44.460652,33.389934
religiousTerror,43.903221,15.511819
religiousTerror,-78.319747,44.309058
religiousTerror,-72.840257,41.519714
religiousTerror,46.091738,43.199829
religiousTerror,-4.20354,55.897911
religiousTerror,88.710896,25.751844
religiousTerror,34.781768,32.0853
religiousTerror,6.993235,4.789935
religiousTerror,-77.146621,38.861472
religiousTerror,44.342575,33.230986
religiousTerror,149.100151,-33.283013
religiousTerror,27.201866,51.287518
religiousTerror,139.74397,35.694095
religiousTerror,25.144213,35.338735
religiousTerror,149.100151,-33.283013
religiousTerror,89.080548,24.94242
religiousTerror,2.97071,42.60036
religiousTerror,-0.105642,51.563528
religiousTerror,32.586036,0.302583
religiousTerror,44.299996,33.27264
religiousTerror,88.77704,25.650338
religiousTerror,46.589335,43.256201
religiousTerror,43.905515,34.166004
religiousTerror,88.66665,25.790366
religiousTerror,68.666267,27.901986
religiousTerror,40.210983,37.924973
religiousTerror,45.001731,12.790095
religiousTerror,44.535351,33.367068
religiousTerror,88.710896,25.751844
religiousTerror,65.871327,32.62414
religiousTerror,38.737257,9.030153
religiousTerror,-116.187442,33.69288
religiousTerror,14.012956,11.162254
religiousTerror,22.944586,12.84353
religiousTerror,91.799769,22.366331
religiousTerror,91.799769,22.366331
religiousTerror,74.294306,31.462532
religiousTerror,37.325277,-0.573522
religiousTerror,13.191338,32.887209
religiousTerror,35.228202,31.775981
religiousTerror,36.634377,35.931076
religiousTerror,13.150967,11.831098
religiousTerror,88.831102,24.596961
religiousTerror,68.643674,36.100878
religiousTerror,124.424696,7.27843
religiousTerror,-121.452503,37.764563
religiousTerror,13.150967,11.831098
religiousTerror,14.566532,32.466528
religiousTerror,124.23738,7.199553
religiousTerror,69.168609,35.013381
