govTerror,longitude,latitude
govTerror,43.65,3.116667
govTerror,41.855116,3.935639
govTerror,1.527654,15.86877
govTerror,29.892957,31.197348
govTerror,69.214639,34.004337
govTerror,89.42179,23.486648
govTerror,88.601997,24.367154
govTerror,44.204693,15.355288
govTerror,34.453593,31.522561
govTerror,44.665761,33.787562
govTerror,64.369167,31.583044
govTerror,-72.102182,-14.086628
govTerror,45.033333,12.8
govTerror,14.550089,5.883333
govTerror,123.059763,13.583886
govTerror,15.061981,4.39177
govTerror,65.417088,28.58345
govTerror,45.033333,12.8
govTerror,44.881944,13.056667
govTerror,-90.257301,29.984368
govTerror,88.583768,24.374757
govTerror,89.569266,24.319166
govTerror,44.5078,33.251506
govTerror,65.752,36.665009
govTerror,31.563543,30.718645
govTerror,44.881944,13.056667
govTerror,-75.217778,-14.021944
govTerror,-75.217778,-14.021944
govTerror,124.441667,6.865592
govTerror,46.616667,4.683333
govTerror,45.116717,2.142623
govTerror,44.122222,3.351389
govTerror,44.632899,33.750477
govTerror,62.256721,33.633989
govTerror,67.96688,32.984915
govTerror,120.969389,15.13405
govTerror,13.374803,52.520164
govTerror,44.4,33.3
govTerror,31.135947,30.122938
govTerror,34.087439,31.170078
govTerror,13.175477,32.898594
govTerror,13.11846,32.8745
govTerror,44.48659,33.321917
govTerror,73.015815,34.496522
govTerror,44.768614,1.717466
govTerror,1.408422,18.438719
govTerror,31.200845,30.055528
govTerror,139.703549,35.69384
govTerror,2.94722,50.420096
govTerror,44.883333,13.05
govTerror,44.51958,33.28
govTerror,44.936884,33.978584
govTerror,125.336637,8.968959
govTerror,120.966667,15.366667
govTerror,70.658333,32.940556
govTerror,93.385508,23.365247
govTerror,11.291944,10.910556
govTerror,11.271926,10.913944
govTerror,10.773285,10.822963
govTerror,7.510333,6.452667
govTerror,10.773285,10.822963
govTerror,7.087067,6.217015
govTerror,10.408754,10.996501
govTerror,11.335948,11.09576
govTerror,69.174589,34.523124
govTerror,67.112496,36.713743
govTerror,65.791944,29.078611
govTerror,10.532222,10.394167
govTerror,10.330143,10.271304
govTerror,7.049844,4.815554
govTerror,6.757429,6.091852
govTerror,32.62492,0.365298
govTerror,5.964841,5.636518
govTerror,28.978359,41.008238
govTerror,93.95,24.819959
govTerror,123.313767,7.451227
govTerror,45.032651,12.810493
govTerror,44.983246,12.783264
govTerror,31.013428,30.551154
govTerror,0.501686,15.659415
govTerror,31.890913,9.908906
govTerror,69.918544,33.337033
govTerror,124.482679,6.986513
govTerror,44.363851,33.368141
govTerror,49.125008,14.538182
govTerror,49.125008,14.538182
govTerror,125.399056,6.600683
govTerror,101.570559,5.989846
govTerror,68.416667,33.55
govTerror,43.698056,34.5625
govTerror,68.866277,36.72835
govTerror,-13.712222,9.509167
govTerror,101.85882,6.117331
