terrorism,longitude,latitude
terrorism,-73.653621,6.643708
terrorism,-1.791497,43.362532
terrorism,-2.774116,43.208759
terrorism,-90.698611,14.403889
terrorism,-86.251389,12.136389
terrorism,-86.251389,12.136389
terrorism,7.686619,45.070562
terrorism,-86.251389,12.136389
terrorism,9.020971,45.792752
terrorism,-66.106654,18.46617
terrorism,-86.251389,12.136389
terrorism,-74.122652,4.636619
terrorism,-74.122652,4.636619
terrorism,30.882976,-29.965819
terrorism,-86.251389,12.136389
terrorism,35.260741,32.22626
terrorism,17.827417,-22.305197
terrorism,,
terrorism,-89.199161,13.69288
terrorism,,
terrorism,-74.122652,4.636619
terrorism,35.260741,32.22626
terrorism,-90.53288,14.624422
terrorism,-89.199161,13.69288
terrorism,,
terrorism,126.560107,7.574132
terrorism,12.494249,41.89052
terrorism,-74.122652,4.636619
terrorism,-5.930109,54.597269
terrorism,-66.486377,18.431705
terrorism,32.851087,39.921478
terrorism,12.494249,41.89052
terrorism,-90.53288,14.624422
terrorism,43.101377,40.61499
terrorism,-87.129784,12.62439
terrorism,-7.319996,54.99451
terrorism,-89.199161,13.69288
terrorism,-89.199161,13.69288
terrorism,,
terrorism,,
terrorism,13.351902,41.640137
terrorism,-88.183333,13.466667
terrorism,-89.55972,13.99417
terrorism,-89.55972,13.99417
terrorism,-1.644184,42.817988
terrorism,-1.984447,43.320812
terrorism,-3.700345,40.416691
terrorism,-88.837704,14.050173
terrorism,-59.884352,7.726018
terrorism,34.758832,32.049584
terrorism,-86.572159,13.78918
terrorism,-88.183333,13.466667
terrorism,-74.841392,1.334366
terrorism,-86.251389,12.136389
terrorism,-79.922359,-2.170832
terrorism,,
terrorism,124.599145,6.637796
terrorism,12.494249,41.89052
terrorism,-90.53288,14.624422
terrorism,-74.122652,4.636619
terrorism,-6.042726,54.510893
terrorism,-5.930109,54.597269
terrorism,27.853677,-26.246319
terrorism,139.756684,35.685826
terrorism,,
terrorism,-3.700345,40.416691
terrorism,12.494249,41.89052
terrorism,34.78853,32.015577
terrorism,-3.700345,40.416691
terrorism,12.494249,41.89052
terrorism,-1.984447,43.320812
terrorism,-6.292657,36.529688
terrorism,8.933989,44.407062
terrorism,-90.53288,14.624422
terrorism,-2.064756,42.907739
terrorism,,
terrorism,-25.67495,37.742242
terrorism,-25.67495,37.742242
terrorism,9.188171,45.463681
terrorism,35.302489,32.462256
terrorism,2.352222,48.856614
terrorism,-89.199161,13.69288
terrorism,-89.199161,13.69288
terrorism,-89.199161,13.69288
terrorism,-88.183333,13.466667
terrorism,-89.199161,13.69288
terrorism,2.352222,48.856614
terrorism,-89.199161,13.69288
terrorism,-89.199161,13.69288
terrorism,9.278311,41.591369
terrorism,-86.1,11.9
terrorism,-86.05557,11.885099
terrorism,-3.011475,43.325239
terrorism,-85.916609,12.919106
terrorism,28.921206,41.018612
terrorism,2.169919,41.387917
terrorism,44.308127,37.974156
terrorism,13.361406,38.11564
terrorism,-89.199161,13.69288
terrorism,9.278311,41.591369
terrorism,,
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,4.291111,52.069858
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,-6.492314,54.787715
terrorism,2.070432,41.355613
terrorism,-89.1813889,13.7361111
terrorism,-3.011475,43.325239
terrorism,-89.55972,13.99417
terrorism,-2.887839,43.20752
terrorism,-0.126236,51.500152
terrorism,139.756684,35.685826
terrorism,17.516841,-18.623616
terrorism,17.083271,-22.567335
terrorism,12.494249,41.89052
terrorism,12.494249,41.89052
terrorism,-2.178116,43.054198
terrorism,-1.984447,43.320812
terrorism,31.25,30.05
terrorism,-70.641997,-33.469115
terrorism,17.516841,-18.623616
terrorism,99.946508,7.970148
terrorism,99.378409,19.644756
terrorism,100.614812,14.481587
terrorism,51.422974,35.696442
terrorism,,
terrorism,8.933989,44.407062
terrorism,2.352222,48.856614
terrorism,12.494249,41.89052
terrorism,23.716647,37.97918
terrorism,-89.199161,13.69288
terrorism,2.352222,48.856614
terrorism,2.352222,48.856614
terrorism,2.352222,48.856614
terrorism,-86.251389,12.136389
terrorism,-74.122652,4.636619
terrorism,-89.4988889,13.7436111
terrorism,12.494249,41.89052
terrorism,8.933989,44.407062
terrorism,14.251636,40.840097
terrorism,34.890149,32.084933
terrorism,27.480083,-29.310013
terrorism,12.494249,41.89052
terrorism,23.716647,37.97918
terrorism,-89.199161,13.69288
terrorism,-89.1897222,13.9572222
terrorism,18.426329,-33.925313
terrorism,-86.251389,12.136389
terrorism,-86.251389,12.136389
terrorism,35.099826,31.532569
terrorism,35.099826,31.532569
terrorism,35.099826,31.532569
terrorism,-89.199161,13.69288
terrorism,8.933989,44.407062
terrorism,12.494249,41.89052
terrorism,51.422974,35.696442
terrorism,,
terrorism,121.146091,15.808517
terrorism,,
terrorism,,
terrorism,-88.747054,14.091943
terrorism,-88.940189,14.009286
terrorism,-88.790872,14.01512
terrorism,-88.787842,14.073542
terrorism,-89.004787,14.128582
terrorism,-89.029769,14.135781
terrorism,-89.029769,14.135781
terrorism,-76.641271,3.800889
terrorism,-87.632409,41.88415
terrorism,-87.746834,41.84484
terrorism,-77.108273,38.880777
terrorism,-86.251389,12.136389
terrorism,-1.644184,42.817988
terrorism,-88.854604,13.718815
terrorism,-69.314762,7.915723
terrorism,-1.893592,52.482961
terrorism,-1.893592,52.482961
terrorism,-1.893592,52.482961
terrorism,-89.054916,13.738762
terrorism,124.248033,7.218171
terrorism,-88.183333,13.466667
terrorism,-1.893592,52.482961
terrorism,-1.893592,52.482961
terrorism,-1.893592,52.482961
terrorism,-1.893592,52.482961
terrorism,92.937574,23.164543
terrorism,2.352222,48.856614
terrorism,2.352222,48.856614
terrorism,9.188171,45.463681
terrorism,12.494249,41.89052
terrorism,7.686619,45.070562
terrorism,9.109324,39.215409
terrorism,,
terrorism,99.623,7.773489
terrorism,73.043426,33.600399
terrorism,92.937574,26.200604
terrorism,124.326546,7.820747
terrorism,-3.700345,40.416691
terrorism,37.142588,36.212989
terrorism,36.295873,33.512753
terrorism,-58.159218,6.821806
terrorism,123.09752,8.518432
terrorism,-90.53288,14.624422
terrorism,-89.55972,13.99417
terrorism,-89.55972,13.99417
terrorism,-2.923441,43.256963
terrorism,35.21172,31.766496
terrorism,-89.7241667,13.7188889
terrorism,-88.183333,13.466667
terrorism,35.21172,31.766496
terrorism,-88.787642,13.685155
terrorism,-89.199161,13.69288
terrorism,-1.984447,43.320812
terrorism,-89.4988889,13.7436111
terrorism,-1.789272,43.338233
terrorism,92.717639,23.727107
terrorism,-8.450077,54.466769
terrorism,77.220004,28.632381
terrorism,34.453593,31.522561
terrorism,35.21172,31.766496
terrorism,35.21172,31.766496
terrorism,34.87863,32.02921
terrorism,35.787049,35.516863
terrorism,17.516841,-18.623616
terrorism,-70.641997,-33.469115
terrorism,-89.502589,13.926371
terrorism,-89.4719444,13.7363889
terrorism,37.142588,36.212989
terrorism,2.352222,48.856614
terrorism,-89.199161,13.69288
terrorism,-6.448779,54.081638
terrorism,,
terrorism,37.142588,36.212989
terrorism,-89.199161,13.69288
terrorism,-58.381503,-34.6037
terrorism,-58.381503,-34.6037
terrorism,-1.984447,43.320812
terrorism,-2.804965,43.209374
terrorism,-89.2797222,13.6769444
terrorism,-89.2797222,13.6769444
terrorism,34.453593,31.522561
terrorism,32.854683,39.922059
terrorism,-90.53288,14.624422
terrorism,-90.53288,14.624422
terrorism,-89.2797222,13.6769444
terrorism,-89.7147222,13.7341667
terrorism,51.422974,35.696442
terrorism,-88.949766,13.760003
terrorism,-88.9,13.7
terrorism,40.733951,37.312903
terrorism,120.978666,14.596051
terrorism,-89.199161,13.69288
terrorism,-87.632409,41.88415
terrorism,-87.632409,41.88415
terrorism,38.276758,37.764543
terrorism,-73.971249,40.78306
terrorism,-73.977436,40.754763
terrorism,-89.199161,13.69288
terrorism,2.352222,48.856614
terrorism,2.352222,48.856614
terrorism,-75.572173,6.270526
terrorism,-89.199161,13.69288
terrorism,-89.199161,13.69288
terrorism,-2.31322,43.090476
terrorism,46.356069,38.030161
terrorism,-6.33393,54.18006
terrorism,-58.381503,-34.6037
terrorism,-75.703846,4.528694
terrorism,-3.700345,40.416691
terrorism,35.03368,31.07249
terrorism,,
terrorism,-58.381503,-34.6037
terrorism,-76.059167,8.173611
terrorism,,
terrorism,-1.900896,43.311307
terrorism,-75.91319,4.74871
terrorism,-89.054916,13.738762
terrorism,-89.199161,13.69288
terrorism,55.30096,25.2094
terrorism,-74.122652,4.636619
terrorism,-6.042726,54.510893
terrorism,93.906269,24.663717
terrorism,-89.228637,13.808917
terrorism,-89.228637,13.808917
terrorism,,
terrorism,7.686619,45.070562
terrorism,51.422974,35.696442
terrorism,-0.126236,51.500152
terrorism,12.494249,41.89052
terrorism,-89.199161,13.69288
terrorism,-0.126236,51.500152
terrorism,2.352222,48.856614
terrorism,35.260741,32.22626
terrorism,93.936844,24.817011
terrorism,28.908079,41.018006
terrorism,13.361406,38.11564
